,src,allophant_src,ref,mBART_machine_label_pred
664,àn ɔ́ɟɔ́ kɛ́lɛ̀ŋìt̪ɔ́ gɛ́ ùɾnɔ̀ ðɛ̀ɲú t̪á kàmə̀ɾðɔ́ t̪ùlì,lmɛɟakɛlenit̪aðeʊnɔðiɲot̪akkapoli,who does grandfather know the lion bit?,They went to take care of Kuku's animals tomorrow
665,àn ɔ́ɟɔ́ kɛ́lɛ̀ŋìt̪á gɛ́ ðɛ̀ɲú t̪á kàmə̀ɾðɔ́ t̪ùlì,anoɟokeleŋit̪aɡeðiɲut̪akomroðoli,who do you know that the lion bit?,Who did I know said that Kuku ate it (lion)?
666,ùɾnɔ̀ kɛ̀lɛ̀ŋìt̪ɔ́ t̪á kúkù kàɾɔ́ t̪ùlí t̪àmə̀ɾðɔ́ ápɾíɲá ùnɛ̀ɾɛ̀,unɔklaŋet̪at̪akʊɡoɡarot̪olet̪amlapɲanere,grandfather knew that Kuku said the lion bit the boy yesterday,grandpa said that Kuku broke the pot with the lion
667,kúkù kàɾɔ́ t̪ùlí t̪àmə̀ɾðɔ́ ápɾíɲá ùnɛ̀ɾɛ̀,kkarɔt̪olet̪amrðɔapreɲanere,Kuku said the lion bit the boy yesterday,He felt the lion bit the boy yesterday (and left)
668,ùɾnɔ̀ kɛ̀lɛ̀ŋìt̪ɔ́ kúkù kàɾɔ́ t̪á t̪ùlí t̪àmə̀ɾðɔ́ ápɾíɲà,ʊnokleit̪okʊkkarot̪apet̪,grandfather knew that Kuku said the lion bit the boy,Where did Kuku watch the lion?
669,ùɾnɔ̀ kɛ̀lɛ̀ŋìt̪ɔ́ ðɛ́ɲú kúkù kàɾɔ́ t̪á t̪ùlí t̪àmə̀ɾðɔ́ ápɾíɲà,ʊnoɡeleŋit̪avnɪkupoɡarot̪apoviðlapen,grandfather knew that Kuku said the lion bit the boy yesterday,grandfather said that Kuku fixed it (=CLl the ball)
670,àn ɔ́ɟɔ́ kɛ̀lɛ̀ŋìt̪ɔ́ ùɾnɔ̀ kàɾɔ́ gɛ́ kúkù t̪á kàmə̀ɾðɔ́ t̪ùlì,ənoɟoklanit̪onokaroekʊkʊt̪akamðot̪uli,who did grandfather know that Kuku said the lion bit?,who did grandfather say Kuku ate it (sheep)?
671,àn ɔ́ɟɔ́ŋá lɛ̀lɛ̀ŋìt̪ɔ́l ùɾnɔ̀ɔ̌ làɾɔ́ lɛ́ kúkù t̪á làmə̀ɾðɔ́l t̪ùlì,ənjoalɛlnt̪olʊrnolalekʊkʊt̪alamoɾðəlt̪oli,who all did grandfather know that Kuku said the lion bit?,who all did grandfather say that Kuku fixed it (the ball)?
672,àn ɔ́ɟɔ́ŋá lɛ̀lɛ̀ŋìt̪ɔ́l ùɾnɔ̀ làɾɔ́ lɛ́ kúkù t̪á làmə̀ɾðɔ́l t̪ùlì,anojaalɛlŋet̪ɔlʊrnolarolekʊkʊt̪alamrðolt̪ole,who all did grandfather know that Kuku said the lion bit?,Who did grandfather like for the song they sang?
673,kúkù ŋgàɾìðù,ukʊɡariðo,Kuku broke (something),Kuku broke (it)
674,kúkù kákə́cì ŋɔ̀mɔ̀,kɔkakacinomɔ,Kuku took food away (from here) ,Kaka showed me the snake
675,kúkù kákɔ́cɔ̀ ŋɔ̀mɔ̀,kʊkʊkakocomɔ,Kuku will take the food away (far),Kuku will come over
676,kúkù kákə̀cí ŋɔ́mɔ̀,kokkakaciŋamɔ,Kuku will take food away,Kuku will show me the snake
677,kúkù kák kàkə̀cí ŋɔ́mɔ̀,pʊkakkaɡaʃiŋomu,Kuku will take food away,Kuku will show me something
678,kúkù kàkɛ́cì ŋɔ̀mɔ̀,ukukakecimomo,Kuku took food (from here),Kuku gave me the snake
679,kúkù kákɛ́cɛ́cì ŋɔ̀mɔ̀ dùn,kukukakececinomodʊ,Kuku took food from home,Kuku gave me the snake
680,kúkù kàkɛ́cɛ́cì ŋɔ̀mɔ̀ dùn,kokookakacaʃimomodu,Kuku took food from home,Kuku will show me a dress
681,kàkɛ́cɛ́cì,kakɛceci,(Kuku) took food (from  home),The shirt is good.
682,kúkù kə̀kə̀cɛ̀cí ŋɔ́mɔ̀ dùn,kukkakacacɪamoro,Kuku took food from home (far),Kuku will make the boy return (something)
683,kúkù kɛ̀kə̀cɛ̀cí ŋɔ́mɔ̀ dùn,kekaceciməmo,Kuku took food from home (far),Take the food from the table now!
684,kúkù kákɔ́cɔ̀cɔ̀ ŋɔ̀mɔ̀ dùn,ukakatmododu,Kuku will take food from home,Kuku will bring (something) tomorrow
685,kúkù kákə̀cɛ̀cí ŋɔ́mɔ̀ dùn,kʊkkakacaʃiŋomuvu,Kuku will take food from home (far),Kuku will show me the soup
686,kúkù kákɛ̀cɛ̀cí ŋɔ́mɔ̀ dùn,kukukaketeʃinamodun,Kuku will take food from home (far),Kuku introduced his mom to him
687,kúkù ŋgə̀cɛ̀cí,ʊŋɡaje,"Kuku took (food home, far)",The hare is hiding
688,kúkù kə̀gɛ̀cìðù,kukokadetiðu,Kuku took (something) away (far),Kuku will call (far)
689,kúkù kə̀bùlìjɛ̀cí ŋálóŋ nɛ̀ lə̀vɛ̀r,kʊkbolɪeʃɪmaloŋlvar,Kuku wrestled Ngalo in the field,Kuku will search in the field (far)
690,kúkù kàbúlíjɛ̀cì ŋàlóŋ nɛ̀ lə̀vɛ̀r,kukokabolicɪmadolavar,Kuku wrestled Ngalo in the field (and left),Kuku will break the pot in the field
691,kúkù kàgít̪ɛ̀ kákàŋú áwùɾ,kukkaɡit̪ekak,Kuku opened the door for Kaka (and left),Kuku drank water in the field
692,kúkù kágít̪ɔ̀ kákàŋú áwùɾ,kʊkʊkaɡɪt̪okakamuao,Kuku will open the door for Kaka (far),Kuku opened the door at home
693,kə̀t̪ɔ̀ðɔ̀t̪ɔ́ kə̀t̪ɔ̀ðɔ̀t̪ɔ́,t̪aðad̪opðat̪o,(Kuku) drank (water in the field),The sheep will pull him (boy) here tomorrow
694,kúkù kə̀t̪ìjí ápɾíɲá ŋávɛ̀,kukokd̪iapleɲamavɛ,Kuku made the boy drink water,Kuku will pull the boy (towards)
695,kúkù kɛ̀t̪ìjí ápɾíɲá ŋávɛ̀,ukoket̪iapɾeɲonave,Kuku made the boy drink water,Kuku hunts in the field (far)
696,kúkù kàt̪íjì àpɾíɲá ŋávɛ̀,ʔoʔoʔatiapɛnjɛvɛs,Kuku made the boy drink water (and left),Kuku will make the boy eat meat
697,kúkù kát̪íjɔ̀ àpɾíɲá ŋávɛ̀,kokkat̪iajaŋɡe,Kuku will make the boy drink water,Kuku will make the boy eat meat (far)
698,kúkù kát̪ìjí ápɾíɲá ŋávɛ̀,ʔukukatiafoɲeaɡɛ,Kuku will make the boy drink water (far),Kuku will open the door for Nga
699,kúkù ŋgɔ̀t̪ìnìjí kákàŋú íɾò,kʊkʊŋɡot̪enɪekat̪amro,Kuku made Kaka braid her hair,Kuku hunts for his wife (far)
700,kúkù ŋgɔ̀t̪ìnìjí kákàŋú íɾó íjùn,kukompot̪ənikakamnɪrɔjun,Kuku made Kaka braid his/her hair,Kuku will beat Kaka in the field
701,kúkù kàgɔ́t̪íjì kákàŋú íɾò,ɡukaɡotɪkakaʊirɔ,Kuku made Kaka braid someone's hair (and left),Kuku will call Kaka (far)
702,kúkù kɔ̀tɛ̀cí kákàŋú dùn,kuɡokutəʃikakamudo,Kuku called Kaka at home,Kuku opened the door for Kaka
703,kúkù kàðɛ́ðì ánù,kʊrokaðeðeano,"Kuku chopped (something, and left)",Grandfather chopped the meat up completely
704,káðɛ́ðà káðɛ́ðà,kaveðakəveða,Kuku will chop...chop (something),s/he is about to cut the rope
705,kúkù kɛ̀t̪ə̀t̪ɔ́,kukuket̪ət̪ɔ,Kuku drank (in the field),Kuku fell at home
706,kɛ̀t̪ɔ̀t̪ɔ́,ket̪ot̪o,(Kuku) drank (in the field),they braided each other's hair
707,kúkù kɛ̀t̪ɔ̀t̪ɔ́,kukokeðot̪ɔ,Kuku drank (in the field),Kuku came out of the house
708,kúkù kát̪ɔ̀t̪ɔ́,kʊɡokat̪at̪o,Kuku will drink (in the field) (far),Kuku will drink (far)
709,kúkù kápà índɔ̀,kʊkukapando,Kuku will take a drum,Kuku will beat (something)
710,kúkù kápát̪à kákàŋú índɔ̀,kukukapat̪akakamuindo,Kuku will take Kaka's drum,Kuku will beat Kaka in the field
711,kúkù kápít̪ɔ̀ kákàŋú índɔ̀,kʊkkapɪt̪əkakamɛnd̪o,Kuku will beat a drum for Kaka,Kuku will drink water in the field
712,kúkù kápít̪ɔ̀ kákàŋú índɔ̀ɔ̌,kukukapɪtəkakamɛndo,Kuku will take a drum for Kaka,Kuku will show Kaka to Kuku
713,kúkù kə̀t̪ìjí ápɾíɲà,kukokt̪iaprea,Kuku will make the boy drink,Kuku drank water
714,kúkù kɛ̀t̪ìjí ápɾíɲà,uʔoʔɛtiapɛjɛ,Kuku will make the boy drink,Kuku made the boy eat (and left)
715,kúkù kə̀t̪ìjé ápɾíɲà,kukokɛt̪ieapreɲa,Kuku will make the boy get lost,Kuku opened the door at home
716,kə̀t̪ìjí kɛ̀t̪ìjí,kt̪ikat̪ie,"made drink, made drink",Parts of: Kuku will eat food (far)
717,kúkù kɛ̀t̪ìjé kɛ̀t̪ìjé,kokokat̪iekat̪ie,"Kuku made get lost, made get lost",Kuku brought (something) yesterday
718,kúkù kàt̪íjè àpɾíɲà,kukukat̪eaprɛja,Kuku made the boy get lost (and left),Kuku will make the boy eat food
719,kúkù kàt̪íjì àpɾíɲà,kukukatiapreɲa,Kuku made the boy drink (and left),Kuku will show the boy to the boy
720,kúkù kát̪íjà àpɾíɲà,kukukat̪ɪafria,Kuku will make the boy get lost,Kuku will drink water (far)
721,kúkù kát̪íjɔ̀ àpɾíɲà,kukokat̪ɪoaprejə,Kuku will make the boy drink,Kuku will make the boy return
722,kúkù kát̪ìjé ápɾíɲà,kukukatiaplɛjə,Kuku will make the boy get lost (far),Kuku will make the boy return
723,kúkù kát̪ìjí ápɾíɲà,kukokatiaprɛjɛ,Kuku will make the boy drink (far),Kuku took (something) away
724,ùɾnɔ̀ kɛ̀lɛ̀ŋìt̪ɔ́ ðɛ̀ɲú t̪á t̪ʊ̀lí t̪àmə̀ɾðɔ́ ŋɛ́nɛ̀,ʊrnɔklanet̪oðeɲot̪apolet̪amrvanɪne,grandpa knew the lion bit the dog,The grandchildren were watching the lion now
725,ðə́pɔ́ ðə̀píŋí ápɾíɲá ðìcɔ̀,vpɔripiŋiapriɲad̪ɪco,my beating of the boy is bad,The boy who chased the dog is bad
726,ðə́pínɔ́ ðìcɔ̀,ðəpɪnaðəɟo,getting beaten is bad,boy will eat meat
727,ðə́pɔ́ ðìcɔ̀,vutɔðiɟɔ,beating is bad,To dance is good
728,ðə́píðɔ́ ðìcɔ̀,ðəpilɔli,beating someone/fighting is bad,the bee bites
729,àɾò kìcə̀lù,kciro,his sibling is good,put on the dress!
730,ɔ̀ɾà kìcə̀lù,araketil,a sibling is good,The stick is good.
731,ɔ̀ɾàí kícə̀lù,raeŋɡitɪno,your/yall's brother is good,Pour the water into the well
732,ɔ̀ɾàlí kícə̀lù,ɔlalekiciro,our (dual) brother is goodff,The medicine is good.
733,kúkù kákáɾìðàǎ,kʊkʊkaɡariɡa,Kuku will break something,Kuku will break (something)
734,kúkù gákáɾìðàǎ,kukoɡakariða,Kuku will break something,Kuku will make the person break (something)
735,kúkù kɛ̀mìɲɔ̀,ʔuʔooʔɛmɲɔ,Kuku came out,Kuku will taste the soup
736,kúkù kɛ̀ìdù,kukokeðo,Kuku fell,Kuku will make the boy sleep
737,kúkù kɛ̀ìdú tə́màn,kokokedt̪ma,Kuku fell quickly,Kuku kept quiet (and left)
738,kúkù kàídì tə̀màn,kokokaɾit̪ma,Kuku fell quickly (and left),Kuku kept quiet (and left)
739,àpɾí jɛ̀ìdìjé kúkùŋù,aprɛelieʔoʔom,the boy made Kuku fall,the boy was shown to Kuku
740,àpɾí jàídíjì kúkùŋù,aprɛjɛilieʔokɔm,the boy made Kuku fall (and left),The boy called Kuku
741,àpɾí jáídìjɔ̀ kúkùŋù,apiiaedeɔʔuʔʊm,the boy will make Kuku fall,The sheep will give Kuku food
742,àpɾí jáìdìjé kúkùŋù,apɾejaelikoʔu,the boy will make Kuku fall (far),the boy will be shown to Kuku (far)
743,kúkù kàútíðìjì àpɾíɲá lɛ́ŋgɛ̀n,kukuɡotəviɛfɛlɪŋɪn,Kuku made the boy call his mom (and left),Kuku made the boy eat (something)
744,kúkù káútìðìjɔ̀ àpɾíɲá lɛ́ŋgɛ̀n,kukokatiðɪpɛɲɛlɪŋɡən,Kuku will make the boy  call his mom,Kuku hunts in the field
745,kúkù káùtìðìjí àpɾíɲá lɛ́ŋgɛ̀n,kukokatiɾiakŋanɛɡen,Kuku will make the boy call his mom (far),Kuku will show me a dog
746,kúkù kùɽcìjí ápɾíɲà,kokokorciapreɲa,Kuku made the boy jump,Kuku showed the boy to the boy
747,kúkù kàúɽcíjì àpɾíɲà,kʊkwkalciapej,Kuku made the boy jump (and left),Kuku will taste the soup
748,kúkù káúɽcìjɔ̀ àpɾíɲà,kokokstaprɪjə,Kuku will make the boy jump,Kuku introduced me to him
749,kúkù káùɽcìjí ápɾíɲà,kukokaɾciapeɲa,Kuku will make the boy jump (far),Kuku gave the boy the bowl
750,kúkù kùɽðìjí ápɾíɲ,kukuvkoðiapreə,Kuku made the boy return,Kuku opened the door with a stick
751,kúkù kàúɽðíjì àpɾíɲà,kokokarðɪjapoja,Kuku made the boy return (and left),Kuku will make the boy sleep (far)
752,kúkù kàúɽðìjì àpɾíɲà,ʊskɾðɪip,Kuku made the boy return (and left),The ostrich is good
753,kúkù káùɽìðìjí ápɾíɲà,kukaɾðeiapɾoina,Kuku will make the boy return (far),Kuku took the boy (and left)
754,kúkù kìjìnìjí ápɾíɲà,kukokieni,Kuku made the boy eat,Kuku was lost
755,kúkù kìjjí,ʔuʔokie,Kuku fed,Kuku is about to eat food
756,kúkù kìjjí ápɾíɲá ŋɔ̀mɔ̀,ʔopoʔiiapɪɛŋɔm,Kuku fed the boy food,Kuku will make the boy return
757,kúkù kìjìnìjí ápɾíɲá ŋɔ̀mɔ̀,kʊkokiniapriɛŋom,Kuku made the boy eat food,Kuku made the boy sleep
758,kúkù kǎjjì àpɾíɲá ŋɔ̀mɔ̀,ʔoʔokaiapɔvjɛm,Kuku fed the boy food (and left),Kuku will make the boy eat food
759,kúkù kǎjɛ̌,kukukaje,Kuku ate...,Kuku is about to eat the food
760,kúkù kâjjí ápɾíɲá ŋɔ̀mɔ̀,ʔoʔokajeafiamdm,Kuku fed the boy food,Kuku will make the boy eat food
761,kúkù kùrìjí ápɾíɲà,kokokoriaprɛa,Kuku made the boy climb down,Kuku made the boy break a stick
762,kúkù kàúríjì àpɾíɲà,kokokarɪapen,Kuku made the boy climb down (far),Kuku will make the boy break a stick
763,kúkù káúrìjɔ̀ àpɾíɲà,kokokrɪoapɾia,Kuku will make the boy climb down,Kuku made the boy throw the stick
764,kúkù káùrìjí ápɾíɲà,kukokarɪapeɲa,Kuku will make the boy climb down (far),Kuku will make the boy break a stick (far)
765,kúkù kùtùðìjí ápɾíɲà,kokokutuðiapoɲa,Kuku made the boy get up,Kuku hunts (far)
766,kúkù kùtìðìjí ápɾíɲà,okokotiðiakane,Kuku made the boy get up,Kuku will chop something (far)
767,kùtìðìjí kùtìðìjí,kotiðijikutiðije,made get up... made get up,Kuku made the boy sleep (and left)
768,kúkù kàtúðìjì ápɾíɲà,kubokatoðiapɛɲɛ,Kuku made the boy get up (and left),Kuku will make the boy return (far)
769,kúkù kùtòðò,kokʊkʊtoðo,Kuku got up,Kuku will chop meat
770,kúkù kàtóðì,kukokatoði,Kuku got up (and left),Kuku will make the boy return
771,kúkù kàtúðìjìǐ kúkù kàtúðìjìǐ,kukukatoðikokokatoði,Kuku made get up...Kuku made get up,Kuku will introduce Kuku to you
772,kúkù kátúðìjɔ̀ àpɾíɲà,kukukatʊðɪoapreɲə,Kuku will make the boy get up,Kuku opened the door for Kaka
773,kúkù kátúðìjɔ̀ àpɾíɲà,kukkatʊðɪoapɾeɲa,Kuku will make the boy get up,Kuku opened the door for Kaka
774,kúkù kátóðà,kukʊkatrðə,Kuku will get up,Kuku will keep quiet (far)
775,kúkù kátúðà,ʔukokato,Kuku will get up,Kuku will chop (something)
776,kúkù kátùðìjí ápɾíɲà,katiapena,Kuku will make the boy get up (far),Kalu is nice
777,kúkù kátòðò,kukokatoðo,Kuku will get up,Kuku will chop something
778,kúkù ŋ̀gàɾcí ápɾíɲà,kukuɡarci,Kuku looked for the boy,Kuku will break (something)
779,àpɾí jǎŋcìnɛ̀ kúkùŋú,aprejamtinekokou,the boy was shown to Kuku (and left),the boy was shown to Kuku by Kuku
780,kúkù kàŋcìnìjí ápɾíɲà,kokokamciniapreɲa,Kuku was shown to the boy,Kuku showed the boy to the boy
781,ɛ̀rə̀mt̪ɛ́j kìcə̀lò,eramt̪ajkiʃolo,my co-wife is good,To feel good is good
782,ɛ̀bɛ̀í kìcə̀lò,ebɛjeʔitil,my sibling-in-law is good,my brother is good
783,ùnɛ́j kìcə̀lò,ʊnajekəcilo,my parent-in-law is good,The bowl is good.
784,wǎj kìcə̀lò,vakicilo,my wife is good,The vaccine is good.
785,wáló kìcə̀lò,wanokeʃeno,your wife is good,water is good
786,èðɔ̀ŋ kɛ́ ŋɛ́n,iðoŋkɛɲɛ,offspring of dog,the dog ate rabbit
787,kɜ́cí ŋɔ̀mɔ̌ kúɽìɟɛ̀n káré t̪ɔ́wə̀nì,kacimomɔkolɪeŋkaret̪onə,Take the food from inside the calabash now,Take the food from the calabash now
788,ɔ̀ráí kìcə̀lò,arajkiʃil,my brother is good,It's the brother that the boy is good.
789,àrò kìcə̀lò,alookicino,his/her brother is good,Look for a trough!
790,ɔ̀ràlí kìcə̀lò,araliɡecilo,our (dual) brother is good,our (incl) mother is good
791,árt̪ɔ́ ŋámàcì kúkùŋù,art̪oŋamacɪkʊk,Tell him to wait for Kuku,Tell him to wait for Kuku now
792,lùɽbí lìcə̀lò,ord̪ileʃil,The jujube fruit is good.,That pot is good
793,ðábrá ðìcə̀lò,rabravecilɔ,To jump is good,The rabbit is good.
794,ðáwá ðìcò,ðawaðico,To urinate is bad,To wash is good
795,kɛ́cɛ́cí rɔ̀mɔ̀cà ŋɔ̀mɔ̀ t̪ɔ́wə̀nì,vececirɔmʃamut̪ni,Take the food from the men now! (malefactive),Take the food from the calves now!
796,kɛ́cɛ́cí ɲɛ̀mbə̀ɽó ŋɔ̀mɔ̀ t̪ɔ́wə̀nì,kɟaciɲembloŋəmot̪oani,Take the food from the calves now! (malefactive),Take the food from the calabash now
797,ɛ̀ɾə̀mt̪ù kìcəlò,ɛrəmfikecelo,a co-wife is good,The feather is good.
798,íŋgóẁ kúɽì kárè,eŋɡokʊlikaɾe,íŋɡóẁ kúɽì kárè,I cooked soup yesterday
799,kúɽì kìcə̀lò,kʊlɪkeʃelo,The forest is nice,The bird is good.
800,ɛ̀màð kìcə̀lʊ̀,emaðkicil,a peer is good,The stick is good.
801,ðájá ðìcò,ðoaðɪʔo,Dying is bad.,That tiger is good.
802,lùɽbí lìcə̀lò,torbelecil,The jujube fruit is good.,The skirts are beautiful
803,ŋùɽbí ŋìcə̀lò,muldbinicelo,The jujube fruits are good.,The mud is good.
804,jàbà jìcə̀lò,ajabaicilo,Stars are good.,The fox is good.
805,ɜ́rú kìcə̀lò,arokiʃilo,The spiderweb is good.,This support pole is good.
806,ŋìcə̀lò,netelɔ,is good (class ŋ),The pens are good.
807,ðícɔ́ ðìcɔ̀,viʃod̪ɪʃɔ,To be bad is bad,Coughing is good.
808,kìjɔ́ ŋɔ́mɔ̀,ʔiama,He ate food,?
809,nùn nìcə̀lò,anonecelo,The porcupines are good,the stones are good
810,bàcʊ̂m k bàcʊ̂m kàvə́lɛ̀ðɛ̀ ðɛ̀dɔ̀ɽɔ̀ unɛɾɛ,bacɔmvacənkəvleðovɾaronara,The fox...The fox pulled the root towards yesterday.,The man pulled the sheep (towards) yesterday
811,kɔ̀ɽɟɛ̀cíŋì,kolɟacɪŋɪ,part of: He helped me yesterday.,Intended: He helped him
812,kə̀ɔ̀ɽɟɛ̀cíŋì,kaorɟecimɪ,part of: He helped me yesterday.,Break the log! (towards)
813,kɔ̀ɽɟɛ̀cáŋà ánó unɛɾɛ kə̀ɔ̀ɽɟɛ̀cáŋà ánó unɛɾɛ kɔ̀ɽɟɛ̀cáŋà ánó unɛɾɛ,kɔrɟeʃamalnevesikenskɔɟeʃamaarnararokolɟaʃanannere,He helped you yesterday. [spoken three times],You helped him yesterday and left.
814,rùɽú rìcə̀lò,alɔrəcelo,The ostriches are good.,The skins are good.
815,t̪ʊ̀lí támə̀rðɛ̀ àpríɲà,t̪oletamrðeapreɲə,the lion bit the boy (and the lion left),the lion was biting the boy
816,àprí lìdìjí lɛ́rà,apɾɛlielɛra,the boy dropped the ball,the boy was big
817,lápə́ɽà ðùɽì,laplaðʊlɪ,They will remove the tree from the ground.,They will hit the wood
818,lápə̀ɽɔ́ ðúɽì,lapɾɔðʊlɪ,They will remove the tree from the ground (far).,The bird in the tree
819,dìjɔ́ rìcɔ̀,ðirɪko,The cow is bad.,This is a dog
820,ùɟí kìcò,ʊɟekɛcɔ,The person is bad.,The person is good.
821,ðírcɔ̀ ðírcɔ̀,ðerʔɔðɪrʃɔ,to try ,This Tira person is good.
822,lábə̀ɽàló,labralo,They will fall (far),They will grind tomorrow.
823,lábə́ɽàlò,labɾalo,They will fall,Parts of: They will fall tomorrow.
824,t̪ʊ̀lí t̪ìrci t̪ámɔ́rðà àpríɲà,t̪olet̪ɪrkitamrd̪preɲa,"The lion tried to bite the boy.’
",the lion bit the boy
825,t̪ʊ̀lí t̪á írcɔ̀ t̪ámɔ́rðà àpríɲà,t̪olesarcɔt̪amvapreɲa,The lion will try to bite the boy.,the lion should bite the boy
826,là ŕɽìɲàɲɛ̀,lalɲaɲe,they killed often (APFV),they killed often (VPFV)
827,lɛ̀kɜ̀rcɜ̀cí,lekarkekɪ,they took away  ,medicine is good
828,lìrdɔ̀dù,lɪd̪əd̪u,they fell often,they fell often
829,lə̀t̪ə̀rvàvɔ̀,lat̪rvavɔ,they cut often,they will cut the rope
830,lə̀pàpìðú,papiðɔ,they beat often,the boy is tall
831,lə̀bɽɔ̀ðìðú,brɔriðo,they hit often,The fox is good.
832,lɛ̀kàkàrɔ̀,lekakaro,they break often,Kakaro is good
833,là kákàrì,lakakaɾrɪ,they break often,The coconut is inside the tree
834,lɛ̀rəcàcì̀,lɛrʃakɪ,they pour often,their mother
835,lə̀ùrt̪ɔ̀t̪ɔ̀,nʊrɔt̪ɔt̪o,they often dig,they often dig
836,là úrɔ̀t̪ɛ̀t̪ɛ̀,laɔlat̪pɛt̪ə,they often dig,They will run for you (here)
837,là úrɔ̀t̪ɔ̀t̪ɛ̀,laorɔt̪at̪e,they often dig,They will climb down quickly (far)
838,lɛ̀kàrkàrɔ̀,nekarka,they often break,It's the calf that the dog fears
839,là kárkàrɛ̀,lakarkare,they often break,they will wrestle each other
840,ìcɔ̀ kìcɔ̀,icəkɪcɔ,Badness is bad,The sheep is good.
841,ðál ðô ìdú,ralðovid̪ʊ,the stick will fall from it (the tree),they will cut wood tomorrow
842,lál lɛ́ré ídú,alðerid̪ʊ,The bowl will fall from it (l-class) (far),‘they cut the rope (and left)’
